原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
冰上项目设施对制冰技术要求很高。国家速滑馆不仅硬件世界一流，制冰技术也世界领先，实现了低碳化、零排放。要发挥好这一项目的技术集成示范效应，加大技术转化和推广应用力度，为推动经济社会发展全面绿色转型、实现碳达峰碳中和作出贡献。,技术,4,制冰,制冰,发展
,实现,2,技术,技术,技术
,制冰,2,速滑,速滑,国家
,项目,1,碳达峰,碳达峰,推动
,零排放,1,世界领先,世界领先,世界
,集成,1,零排放,零排放,实现
,速滑,1,碳化,碳化,发挥
,转型,1,冰上,冰上,全面
,转化,1,推广应用,推广应用,加大
,设施,1,作出贡献,作出贡献,转化
,要求,1,实现,实现,经济社会
,绿色,1,硬件,硬件,力度
,经济社会,1,集成,集成,绿色
,示范,1,示范,示范,项目
,碳达峰,1,一流,一流,要求
,碳化,1,,,
,硬件,1,,,
,目的,1,,,
,效应,1,,,
,推广应用,1,,,
,推动,1,,,
,国家,1,,,
,发挥,1,,,
,发展,1,,,
,加大,1,,,
,力度,1,,,
,冰上,1,,,
,全面,1,,,
,作出贡献,1,,,
,世界领先,1,,,
,世界,1,,,
,不仅,1,,,
,一项,1,,,
,一流,1,,,
,,,,,
当今世界，科技在竞技体育中的作用越来越突出。建设体育强国，必须实现高水平的体育科技自立自强。要综合多学科、跨学科的力量，统筹推进技术研发和技术转化，为我国竞技体育实现更大突破提供有力支撑。,体育,4,体育,体育,科技
,竞技,2,竞技,竞技,技术
,科技,2,自立自强,自立自强,建设
,技术,2,科技,科技,我国
,实现,2,跨学科,跨学科,实现
,高水平,1,技术,技术,推进
,转化,1,实现,实现,突破
,跨学科,1,当今世界,当今世界,作用
,越来越,1,统筹,统筹,支撑
,自立自强,1,强国,强国,必须
,综合,1,高水平,高水平,研发
,统筹,1,研发,研发,强国
,突破,1,学科,学科,力量
,突出,1,有力,有力,转化
,研发,1,更大,更大,提供
,有力,1,,,
,更大,1,,,
,支撑,1,,,
,提供,1,,,
,推进,1,,,
,我国,1,,,
,必须,1,,,
,当今世界,1,,,
,强国,1,,,
,建设,1,,,
,学科,1,,,
,力量,1,,,
,作用,1,,,
,,,,,
二七厂冰雪项目训练基地肩负着我国冰雪运动科技研发的重要使命。希望你们担当使命、勇攀高峰，为加快发展我国冰雪运动作出更大贡献。,冰雪,3,冰雪,冰雪,科技
,运动,2,使命,使命,发展
,我国,2,勇攀高峰,勇攀高峰,加快
,使命,2,肩负着,肩负着,我国
,项目,1,运动,运动,重要
,重要,1,我国,我国,研发
,贡献,1,二七,二七,希望
,训练,1,担当,担当,贡献
,肩负着,1,研发,研发,作出
,科技,1,训练,训练,项目
,研发,1,更大,更大,更大
,更大,1,贡献,贡献,基地
,担当,1,基地,基地,你们
,希望,1,科技,科技,使命
,基地,1,加快,加快,勇攀高峰
,发展,1,,,
,勇攀高峰,1,,,
,加快,1,,,
,你们,1,,,
,作出,1,,,
,二七,1,,,
,,,,,
